Number,Japanese,English,Korean,Station
1,関大前,Kandai-mae,칸다이마에,HK91,,
2,豊津,Toyotsu,토요츠,HK90,,
3,吹田,Suita,스이타,HK89,,
4,下新庄,Shimoshinjo,시모신조,HK88,,
5,柴島,Kunijima,쿠니지마,HK87,,
6,相川,Aikawa,아이카와,HK65,,
7,上新庄,Kamishinjo,카미신조,HK64,,
8,淡路,Awaji,아와지,HK63,,
9,崇禅寺,Sozenji,소젠지,HK62,,
10,南方,Minamikata,미나미카타,HK61,,
11,服部天神,Hattori-tenjin,핫토리텐진,HK43,,
12,庄内,Shonai,쇼나이,HK42,,
13,三国,Mikuni,미쿠니,HK41,,
14,塚口,Tsukaguchi,쓰카구치,HK06,,
15,塚口,Tsukaguchi,쓰카구치,G50,,
16,園田,Sonoda,소노다,HK05,,
17,神崎川,Kanzakigawa,칸자키가와,HK04,,
18,十三,Juso,주소,HK03,,
19,大阪梅田,Osaka-umeda,오사카우메다,HK01,,
20,出来島,Dekijima,데키지마,HS49,,
21,福,Fuku,후쿠,HS48,,
22,伝法,Denpo,덴포,HS47,,
23,千鳥橋,Chidoribashi,치도리바시,HS46,,
24,尼崎,Amagasaki,아마가사키,HS09,,
25,大物,Daimotsu,다이모쓰,HS08,,
26,杭瀬,Kuise,쿠이세,HS07,,
27,姫島,Himejima,히메지마,HS05,,
28,千船,Chibune,치부네,HS06,,
29,淀川,Yodogawa,요도가와,HS04,,
30,桜島,Sakurajima,사쿠라지마,P17,,
31,野田,Noda,노다,O13,,
32,天満,Temma,텐마,O10,,
33,加島,Kashima,카시마,H48,,
34,海老江,Ebie,에비에,H46,,
35,御幣島,Mitejima,미테지마,H47,,
36,北新地,Kitashinchi,키타신치,H44,,
37,大阪天満宮,Osaka Tenmangu,오사카 텐만구,H43,,
38,大阪城北詰,Osakajokitazume,오사카조키타즈메,H42,,
39,徳庵,Tokuan,토쿠안,H38,,
40,鴻池新田,Konoikeshinden,코노이케신덴,H37,,
41,新福島,Shin-Fukushima,신후쿠시마,H45,,
42,新加美,Shin-Kami,신카미,F14,,
43,衣摺加美北,Kizuri-Kamikita,기즈리카미키타,F13,,
44,JR長瀬,JR-Nagase,JR나가세,F12,,
45,南吹田,Minami-Suita,미나미스이타,F03,,
46,JR淡路,JR-Awaji,JR아와지,F04,,
47,城北公園通,Shirokitakoendori,시로키타코엔도리,F05,,
48,JR野江,JR-Noe,JR노에,F06,,
49,岸辺,Kishibe,기시베,A43,,
50,東淀川,Higashi-Yodogawa,히가시요도가와,A45,,
51,吹田,Suita,스이타,A44,,
52,加美,Kami,카미,Q23,,
53,平野,Hirano,히라노,Q22,,
54,東部市場前,Tobushijo-mae,도부시장앞,Q21,,
55,JR難波,JR-Namba,JR난바,Q17,,
56,杉本町,Sugimotocho,스기모토초,R26,,
57,我孫子町,Abikocho,아비코초,R25,,
58,鶴ケ丘,Tsurugaoka,쓰루가오카,R23,,
59,長居,Nagai,나가이,R24,,
60,南田辺,Minamitanabe,미나미타나베,R22,,
61,美章園,Bishōen,비쇼엔,R21,,
62,守口市,Moriguchi-shi,모리구치시,KH11,,
63,河内天美,Kawachi-Amami,가와치아마미,KT-F07,,
64,矢田,Yata,야타,KT-F06,,
65,針中野,Harinakano,하리나카노,KT-F05,,
66,今川,Imagawa,이마가와,KT-F04,,
67,北田辺,Kitatana,키타타나베,KT-F03,,
68,河堀口,Koboreguchi,코보레구치,KT-F02,,
69,長瀬,Nagase,나가세,D08,,
70,弥刀,Mito,미토,D09,,
71,八戸ノ里,Yaenosato,야에노사토,KT-A09,,
72,河内小阪,Kawachi-Kosaka,가와치코사카,KT-A08,,
73,今里,Imazato,이마자토,KT-A05,,
74,今里,Imazato,이마자토,"I21,S20",,
75,大阪上本町,Osaka-Uehommachi,오사카우에혼마치,KT-A03,,
76,西梅田,Nishi-Umeda,니시우메다,Y11,,
77,肥後橋,Higobashi,히고바시,Y12,,
78,四ツ橋,Yotsubashi,요츠바시,Y14,,
79,花園町,Hanazonochō,하나조노초,Y17,,
80,岸里,Kishinosato,기시노사토,Y18,,
81,玉出,Tamade,타마데,Y19,,
82,北加賀屋,Kitakagaya,키타카가야,Y20,,
83,大日,Dainichi,다이니치,T11,,
84,守口,Moriguchi,모리구치,T12,,
85,千林大宮,Senbayashi-omiya,센바야시오미야,T14,,
86,関目高殿,Sekime-Takadono,세키메다카도노,T15,,
87,野江内代,Noe-Uchindai,노에우치인다이,T16,,
88,都島,Miyakojima,미야코지마,T17,,
89,中崎町,Nakazakicho,나카자키초,T19,,
90,東梅田,Higashi-Umeda,히가시우메다,T20,,
91,四天王寺前夕陽丘,Shitennoji-mae Yuhigaoka,시텐노지마에유히가오카,T26,,
92,阿倍野,Abeno,아베노,T28,,
93,文の里,Fuminosato,후미노사토,T29,,
94,田辺,Tanabe,타나베,T30,,
95,駒川中野,Komagawa-Nakano,고마가와나카노,T31,,
96,平野,Hirano,히라노,T32,,
97,喜連瓜破,Kire-Uriwari,기레우리와리,T33,,
98,出戸,Deto,데토,T34,,
99,長原,Nagahara,나가하라,T35,,
100,八尾南,Yaominami,야오미나미,T36,,
101,江坂,Esaka,에사카,M11,,
102,東三国,Higashi-Mikuni,히가시미쿠니,M12,,
103,西中島南方,Nishinakajima-Minamigata,니시나카지마미나미가타,M14,,
104,中津,Nakatsu,나카츠,M15,,
105,大阪,Osaka,오사카,"HK01,A47,G47,O11,F01,M16",,
106,梅田,Umeda,우메다,"HK01,A47,G47,O11,F01,M16",,
107,昭和町,Showacho,쇼와초,M24,,
108,西田辺,Nishitanabe,니시타나베,M25,,
109,あびこ,Abiko,아비코,M27,,
110,長居,Nagai,나가이,M26,,
111,長田,Nagata,나가타,C23,,
112,深江橋,Fukaebashi,후카에바시,C21,,
113,朝潮橋,Asashiobashi,아사시오바시,C12,,
114,大阪港,Osakako,오사카코,C11,,
115,夢洲駅,Yumeshima,유메시마,C09,,
116,南巽,Minami-Tatsumi,미나미타쓰미,S24,,
117,北巽,Kita-Tatsumi,키타타쓰미,S23,,
118,小路,Shoji,쇼지,S22,,
119,新深江,Shin-Fukae,신후카에,S21,,
120,玉川,Tamagawa,다마가와,S12,,
121,恵美須町,Ebisucho,에비스초,K18,,
122,扇町,Ogimachi,오기마치,K12,,
123,門真南,Kadoma-Minami,가도마미나미,N27,,
124,鶴見緑地,Tsurumi-Ryokuchi,쓰루미료쿠치,N26,,
125,横堤,Yokozutsumi,요코즈츠미,N25,,
126,今福鶴見,Imafuku-Tsurumi,이마후쿠쓰루미,N24,,
127,大阪ビジネスパーク,Osaka Business Park,오사카비즈니스파크,N21,,
128,玉造,Tamatsukuri,다마쓰쿠리,N19,,
129,松屋町,Matsuyamachi,마츠야마치,N17,,
130,西大橋,Nishiohashi,니시오하시,N14,,
131,関目成育,Sekime-Seiiku,세키메세이이쿠,I17,,
132,新森古市,Shinmori-Furuichi,신모리후루이치,I16,,
133,清水,Shimizu,시미즈,I15,,
134,だいどう豊里,Daido-Toyosato,다이도토요사토,I13,,
135,瑞光四丁目,Zuiko 4-chome,즈이코욘초메,I12,,
136,井高野,Itakano,이타카노,I11,,
137,平林,Hirabayashi,히라바야시,P17,,
138,南港口,Nankoguchi,난코구치,P16,,
139,南港東,Nanko-Higashi,난코히가시,P15,,
140,フェリーターミナル,Ferry Terminal,페리터미널,P14,,
141,ポートタウン東,Port Town East,포트타운이스트,P13,,
142,ポートタウン西,Port Town West,포트타운웨스트,P12,,
143,中ふ頭,Naka-Futo,나카후토,P11,,
144,トレードセンター前,Trade Center-mae,트레이드센터마에,P10,,
145,南海難波,Nankai-Namba,난카이난바,NK01,,
146,天満橋,Temmabashi,텐마바시,"T22,KH03",,
147,北浜,Kitahama,키타하마,"K14,KH02",,
148,福島,Fukushima,후쿠시마,"HS02,O12",,
149,天下茶屋,Tengachaya,텐가차야,"NK05,K20",,
150,野田阪神,Nodahanshin,노다한신,"HS03,S11",,
151,桜川,Sakuragawa,사쿠라가와,"HS42,S15",,
152,九条,Kujo,쿠조,"HS44,C14",,
153,大阪ドーム前,Dome-mae Chiyozaki,돔마에치요자키,"HS43,N12",,
154,今宮,Imamiya,이마미야,"Q18,O18",,
155,住之江公園,Suminoekoen,스미노에코엔,"Y21,P18",,
156,コスモスクエア,Cosmosquare,코스모스퀘어,"C10,P09",,
157,大国町,Daikokucho,다이코쿠초,"M21,Y16",,
158,本町,Hommachi,혼마치,"Y13,C16,M18",,
159,新大阪,Shin-Osaka,신오사카,"A46,M13,F02",,
160,心斎橋,Shinsaibashi,신사이바시,"M19,N15",,
161,動物園前,Dobutsuen-mae,도부쓰엔마에,"K19,M22",,
162,谷町九丁目,Tanimachi 9-chome,타니마치9초메,"T25,S18",,
163,谷町六丁目,Tanimachi 6-chome,타니마치6초메,"T24,N18",,
164,谷町四丁目,Tanimachi 4-chome,타니마치4초메,"T23,C18",,
165,南森町,Minami-Morimachi,미나미모리마치,"K13,T21",,
166,天神橋筋六丁目,Tenjinbashisuji 6-chome,텐진바시스지6초메,"K11,T18",,
167,太子橋今市,Taishibashi-Imaichi,타이시바시이마이치,"I14,T13",,
168,蒲生四丁目,Gamo 4-chome,가모4초메,"I18,N23",,
169,森之宮,Morinomiya,모리노미야,"N20,C19,O06",,
170,長堀橋,Nagahoribashi,나가호리바시,"K16,N16",,
171,大正,Taisho,다이쇼,"N11,O16",,
172,堺筋本町,Sakaisuji-Hommachi,사카이스지혼마치,"K15,C17",,
173,鴫野,Shigino,시기노,"F07,I19,H40",,
174,緑橋,Midoribashi,미도리바시,"I20,C20",,
175,西長堀,Nishinagahori,니시나가호리,"S14,N13",,
176,阿波座,Awaza,아와자,"S13,C15",,
177,新今宮,Shin-Imamiya,신이마미야,"NK03,Q19,O19",,
178,放出,Hanaten,하나텐,"F08,H39",,
179,弁天町,Bentencho,벤텐초,"C13,O15",,
180,塚本,Tsukamoto,츠카모토,"A48,G48",,
181,高井田,Takaida,다카이다,"F09,C22",,
182,久宝寺,Kyuhoji,큐호지,"F15,Q24",,
183,西九条,Nishikujo,니시쿠조,"HS45,O14",,
184,淀屋橋,Yodoyabashi,요도야바시,"M17,KH01",,
185,京橋,Kyobashi,쿄바시,"N22,H41,KH04,O08",,
186,天王寺,Tennoji,텐노지,"M23,T27,O01,Q20,R20,KH-F01",,
187,JR俊徳道,JR-Shuntokumichi,JR슌토쿠미치,"F11,D07",,
188,なんば,Namba,난바,"Y15,KT-A01,S16,M20,HS41",,
189,日本橋,Nipponbashi,닛폰바시,"K17,KT-A02,S17",,
190,JR河内永和,JR-Kawachi-Eiwa,JR카와치에이와,"F10,KT-A07",,
191,鶴橋,Tsuruhashi,츠루하시,"S19,O04,KT-A04",,
192,布施,Fuse,후세,"KT-A06,D06",,
